tokens,publish_at_values,created_at_values,titles,ratings,brand
br_f3ea2t6qdk,1718737200000,1718390162000,Wonderful to work with and AMAZING products!!! ,5,TELETIES
br_qmrxuxr2r4,1718650800000,1718296333000,Love the new Summer Colors and the square flat claw!,5,TELETIES
br_bbgpsuzck9,1718132400000,1717968747000,AWESOME!,5,TELETIES
br_7k9mannbas,1718132400000,1717788887000,My customers love these so much!,5,TELETIES
br_5wb23s7uum,1718132400000,1717760882000,Love these!!  They sale out quickly in our store.,5,TELETIES
br_axeet2g3qt,1717700400000,1717524453000,Great product,5,TELETIES
br_tbzvyxjsc4,1717700400000,1717519330000,The best clips!,5,TELETIES
br_c85ks6ju2v,1717700400000,1717489110000,thank you,5,TELETIES
br_7wwmeaq8ed,1717614000000,1717449059000,Love it!,5,TELETIES
br_4keh9y8en9,1717527600000,1717270450000,Great product ,5,TELETIES
br_bwd98jw2c5,1717182000000,1717001692000,Love,5,TELETIES
br_k2jrsggnb6,1717095600000,1716911661000,These clips sell themselves!,5,TELETIES
br_tf35ajjzmr,1717095600000,1716860042000,"Love the new designs, especially love the collegiate!",5,TELETIES
br_bm69ctwghp,1716318000000,1715998840000,Amazing product and fast shipping ,5,TELETIES
br_u8a6yduecp,1715972400000,1715770673000,"I have sold TELETIES for years, and still a top seller in my shop!! Thank you!!",5,TELETIES
br_5b2gqmx7y6,1715972400000,1715740994000,Always great merchandise! One of our very best selling lines.,5,TELETIES
br_fmxu3recas,1714762800000,1714581245000,great product,4,TELETIES
br_cg4jhssf6y,1714417200000,1714077352000,Awesome cash wrap upsell!!  Love Teleties and all the new colors!,5,TELETIES
br_ugm9gmzzyj,1714417200000,1714012820000,Always great merchandise! One of our very best selling lines.,5,TELETIES
br_677ktbrrjk,1714417200000,1714012756000,Always great merchandise! One of our very best selling lines.,5,TELETIES
br_mz98rkew8d,1714071600000,1713833367000,thank you,5,TELETIES
br_7qaz4cr3zq,1713812400000,1713463206000,Love,5,TELETIES
br_fsvn5sse42,1713294000000,1712980947000,thank you ,5,TELETIES
br_2zkvsp87qq,1713294000000,1712929346000,THE BEST ,5,TELETIES
br_r4u9k86atp,1712689200000,1712413602000,great product,5,TELETIES
br_pe44frpt8v,1712343600000,1712160467000,Love tELETIES! ,5,TELETIES
br_geqgkrjmkv,1712257200000,1712088045000,Love!,5,TELETIES
br_bwtgydegm9,1712084400000,1711764525000,Always great merchandise! One of our very best selling lines.,5,TELETIES
br_puactmtwsn,1712084400000,1711764016000,Always great merchandise! One of our very best selling lines.,5,TELETIES
br_6tqmfx3fdt,1710874800000,1710704717000,Love ,5,TELETIES
br_acjtg7q2yd,1710874800000,1710679136000,Love Teleties,5,TELETIES
